k [ Mpc^-1],P(k) [Mpc^3]
0.000567834,10738.87919
0.000572119,10814.89105
0.000576437,10891.4159
0.000580787,10968.45677
0.000585169,11046.01664
0.000589585,11124.09857
0.000594035,11202.70557
0.000598517,11281.84071
0.000603034,11361.50705
0.000607585,11441.70765
0.00061217,11522.44561
0.000616789,11603.72402
0.000621444,11685.546
0.000626133,11767.91465
0.000630858,11850.83312
0.000635619,11934.30455
0.000640416,12018.33209
0.000645248,12102.91891
0.000650118,12188.06819
0.000655024,12273.78311
0.000659967,12360.06689
0.000664947,12446.92273
0.000669965,12534.35385
0.000675021,12622.36349
0.000680115,12710.95489
0.000685247,12800.13132
0.000690418,12889.89604
0.000695628,12980.25234
0.000700878,13071.20349
0.000706167,13162.7528
0.000711496,13254.90357
0.000716865,13347.65901
0.000722275,13441.02235
0.000727725,13534.99681
0.000733217,13629.58564
0.00073875,13724.79207
0.000744325,13820.61936
0.000749942,13917.07077
0.000755601,14014.14957
0.000761303,14111.85902
0.000767048,14210.20241
0.000772837,14309.18302
0.000778669,14408.80415
0.000784545,14509.06909
0.000790465,14609.98116
0.00079643,14711.54365
0.00080244,14813.7599
0.000808496,14916.63323
0.000814597,15020.16696
0.000820744,15124.36444
0.000826938,15229.22899
0.000833178,15334.76398
0.000839466,15440.97275
0.000845801,15547.85865
0.000852183,15655.42506
0.000858614,15763.67533
0.000865094,15872.61284
0.000871622,15982.24097
0.000878199,16092.56309
0.000884827,16203.58259
0.000891504,16315.30285
0.000898231,16427.72719
0.00090501,16540.85886
0.000911839,16654.7011
0.00091872,16769.25715
0.000925653,16884.53024
0.000932639,17000.52363
0.000939677,17117.24053
0.000946768,17234.6842
0.000953912,17352.85786
0.000961111,17471.76474
0.000968364,17591.40807
0.000975671,17711.79108
0.000983034,17832.91698
0.000990452,17954.78899
0.000997927,18077.41033
0.001005457,18200.78421
0.001013045,18324.91384
0.00102069,18449.8024
0.001028392,18575.45311
0.001036153,18701.86915
0.001043972,18829.05371
0.00105185,18957.00996
0.001059788,19085.74109
0.001067785,19215.25026
0.001075843,19345.54062
0.001083962,19476.61534
0.001092142,19608.47756
0.001100383,19741.13041
0.001108687,19874.57704
0.001117054,20008.82056
0.001125483,20143.86407
0.001133977,20279.7105
0.001142534,20416.36272
0.001151156,20553.8236
0.001159843,20692.09598
0.001168596,20831.18268
0.001177414,20971.08652
0.001186299,21111.81028
0.001195252,21253.35675
0.001204271,21395.72867
0.001213359,21538.92878
0.001222516,21682.95981
0.001231741,21827.82446
0.001241036,21973.5254
0.001250401,22120.06528
0.001259837,22267.44677
0.001269345,22415.67245
0.001278924,22564.74495
0.001288575,22714.66682
0.001298299,22865.44062
0.001308096,23017.06887
0.001317967,23169.55408
0.001327913,23322.89873
0.001337934,23477.10527
0.001348031,23632.17613
0.001358203,23788.11372
0.001368453,23944.92041
0.00137878,24102.59855
0.001389184,24261.15047
0.001399668,24420.57846
0.00141023,24580.8848
0.001420872,24742.07162
0.001431594,24904.14088
0.001442398,25067.09445
0.001453283,25230.93419
0.001464249,25395.66191
0.001475299,25561.27937
0.001486432,25727.7883
0.001497649,25895.1904
0.001508951,26063.4873
0.001520338,26232.68063
0.001531811,26402.77194
0.001543371,26573.76274
0.001555018,26745.65452
0.001566752,26918.44871
0.001578576,27092.1467
0.001590488,27266.74982
0.00160249,27442.25936
0.001614583,27618.67658
0.001626767,27796.00268
0.001639044,27974.23879
